kernel,requested_ratio,actual_allocation_ratio,tenant_requested_bytes,block,policy,high_s,low_s,both_finished_s,high_kernel_ms,low_kernel_ms,release_skew_us,source
gemm,1.5,1.4998683097714272,25251987456,1,memory_only,132.729018,140.106352,140.106352,49800.6,1846.85,3.814697265625,gemm/ratio-1.5/combined_20260908_064409/block01_memory_only
gemm,1.5,1.4998683097714272,25251987456,1,combined,16.148632,27.438029,27.438029,1852.68,1852.81,2.86102294921875,gemm/ratio-1.5/combined_20260908_064409/block01_combined
gemm,1.5,1.4998683097714272,25251987456,1,baseline,175.630697,175.386487,175.630697,55706.9,55739.2,0.95367431640625,gemm/ratio-1.5/combined_20260908_064409/block01_baseline
gemm,1.5,1.4998683097714272,25251987456,2,prefetch_only,135.829535,143.036642,143.036642,48760.4,1845.35,1.9073486328125,gemm/ratio-1.5/combined_20260908_064409/block02_prefetch_only
gemm,1.5,1.4998683097714272,25251987456,2,memory_only,136.045869,143.302644,143.302644,48866.9,1849.93,1.9073486328125,gemm/ratio-1.5/combined_20260908_064409/block02_memory_only
gemm,1.5,1.4998683097714272,25251987456,2,combined,16.137768,27.393641,27.393641,1844.4,1844.34,1.9073486328125,gemm/ratio-1.5/combined_20260908_064409/block02_combined
gemm,1.5,1.4998683097714272,25251987456,2,baseline,175.447217,175.143359,175.447217,55611.9,55665.8,0.95367431640625,gemm/ratio-1.5/combined_20260908_064409/block02_baseline
gemm,1.5,1.4998683097714272,25251987456,2,sched_only,16.57435,23.971436,23.971436,1842.85,1842.2,3.0994415283203125,gemm/ratio-1.5/combined_20260908_064409/block02_sched_only
gemm,1.5,1.4998683097714272,25251987456,3,memory_only,135.321613,142.57665,142.57665,48634.7,1842.21,2.1457672119140625,gemm/ratio-1.5/combined_20260908_064409/block03_memory_only
gemm,1.5,1.4998683097714272,25251987456,3,combined,16.190758,27.517648,27.517648,1852.36,1851.72,4.0531158447265625,gemm/ratio-1.5/combined_20260908_064409/block03_combined
gemm,1.5,1.4998683097714272,25251987456,3,baseline,175.356679,175.611185,175.611185,55669.0,55670.1,1.9073486328125,gemm/ratio-1.5/combined_20260908_064409/block03_baseline
gemm,1.5,1.4998683097714272,25251987456,3,sched_only,16.558908,23.972291,23.972291,1848.82,1848.59,1.9073486328125,gemm/ratio-1.5/combined_20260908_064409/block03_sched_only
gemm,1.5,1.4998683097714272,25251987456,3,prefetch_only,136.40736,143.620102,143.620102,49131.7,1842.21,1.9073486328125,gemm/ratio-1.5/combined_20260908_064409/block03_prefetch_only
gemm,1.5,1.4998683097714272,25251987456,4,combined,16.186689,27.412884,27.412884,1851.29,1850.83,1.9073486328125,gemm/ratio-1.5/combined_20260908_064409/block04_combined
gemm,1.5,1.4998683097714272,25251987456,4,baseline,175.366167,175.110812,175.366167,55650.8,55633.9,0.0,gemm/ratio-1.5/combined_20260908_064409/block04_baseline
gemm,1.5,1.4998683097714272,25251987456,4,sched_only,16.606671,24.058416,24.058416,1852.56,1852.72,0.95367431640625,gemm/ratio-1.5/combined_20260908_064409/block04_sched_only
gemm,1.5,1.4998683097714272,25251987456,4,prefetch_only,137.206257,144.380487,144.380487,49442.6,1846.25,3.0994415283203125,gemm/ratio-1.5/combined_20260908_064409/block04_prefetch_only
gemm,1.5,1.4998683097714272,25251987456,4,memory_only,133.120903,140.478281,140.478281,49619.1,1841.5,3.0994415283203125,gemm/ratio-1.5/combined_20260908_064409/block04_memory_only
hotspot,0.8,0.799383835714828,13467726848,0,baseline,5.268347,5.015946,5.268347,601.58,612.08,2.1457672119140625,hotspot/ratio-0.8/combined_20260908_040018/block00_baseline
hotspot,0.8,0.799383835714828,13467726848,0,sched_only,3.138991,4.673347,4.673347,275.588,275.62,2.1457672119140625,hotspot/ratio-0.8/combined_20260908_040018/block00_sched_only
hotspot,0.8,0.799383835714828,13467726848,0,prefetch_only,4.597455,5.71564,5.71564,642.578,275.616,3.0994415283203125,hotspot/ratio-0.8/combined_20260908_040018/block00_prefetch_only
hotspot,0.8,0.799383835714828,13467726848,0,memory_only,4.040876,5.23918,5.23918,641.126,275.59,1.9073486328125,hotspot/ratio-0.8/combined_20260908_040018/block00_memory_only
hotspot,0.8,0.799383835714828,13467726848,0,combined,2.839687,4.886145,4.886145,275.43,275.525,1.9073486328125,hotspot/ratio-0.8/combined_20260908_040018/block00_combined
hotspot,0.8,0.799383835714828,13467726848,1,sched_only,3.144834,4.675159,4.675159,275.42,275.542,2.1457672119140625,hotspot/ratio-0.8/combined_20260908_040018/block01_sched_only
hotspot,0.8,0.799383835714828,13467726848,1,prefetch_only,4.545056,5.667772,5.667772,637.942,275.53,1.9073486328125,hotspot/ratio-0.8/combined_20260908_040018/block01_prefetch_only
hotspot,0.8,0.799383835714828,13467726848,1,memory_only,4.551527,5.777809,5.777809,645.932,275.549,2.1457672119140625,hotspot/ratio-0.8/combined_20260908_040018/block01_memory_only
hotspot,0.8,0.799383835714828,13467726848,1,combined,2.851655,4.87691,4.87691,275.512,275.543,2.1457672119140625,hotspot/ratio-0.8/combined_20260908_040018/block01_combined
hotspot,0.8,0.799383835714828,13467726848,1,baseline,5.060679,5.32084,5.32084,613.233,603.261,1.1920928955078125,hotspot/ratio-0.8/combined_20260908_040018/block01_baseline
hotspot,0.8,0.799383835714828,13467726848,2,prefetch_only,4.568204,5.731699,5.731699,644.327,275.482,4.0531158447265625,hotspot/ratio-0.8/combined_20260908_040018/block02_prefetch_only
hotspot,0.8,0.799383835714828,13467726848,2,memory_only,4.574701,5.758491,5.758491,649.572,275.504,2.1457672119140625,hotspot/ratio-0.8/combined_20260908_040018/block02_memory_only
hotspot,0.8,0.799383835714828,13467726848,2,combined,2.853719,4.892652,4.892652,275.404,275.545,1.9073486328125,hotspot/ratio-0.8/combined_20260908_040018/block02_combined
hotspot,0.8,0.799383835714828,13467726848,2,baseline,5.287372,5.046905,5.287372,588.101,612.899,0.95367431640625,hotspot/ratio-0.8/combined_20260908_040018/block02_baseline
hotspot,0.8,0.799383835714828,13467726848,2,sched_only,3.152855,4.692124,4.692124,275.437,275.521,2.86102294921875,hotspot/ratio-0.8/combined_20260908_040018/block02_sched_only
hotspot,0.8,0.799383835714828,13467726848,3,memory_only,4.594308,5.758727,5.758727,644.063,275.563,2.86102294921875,hotspot/ratio-0.8/combined_20260908_040018/block03_memory_only
hotspot,0.8,0.799383835714828,13467726848,3,combined,2.825836,4.873646,4.873646,275.483,275.548,3.0994415283203125,hotspot/ratio-0.8/combined_20260908_040018/block03_combined
hotspot,0.8,0.799383835714828,13467726848,3,baseline,5.093306,5.363801,5.363801,613.773,613.69,1.1920928955078125,hotspot/ratio-0.8/combined_20260908_040018/block03_baseline
hotspot,0.8,0.799383835714828,13467726848,3,sched_only,3.147617,4.665858,4.665858,275.482,275.55,1.9073486328125,hotspot/ratio-0.8/combined_20260908_040018/block03_sched_only
